text,sexist
osmanlı böyle çöker… dönemin düşünürü koçi bey padişah iv muratın isteğiyle yılında osmanlı devletinin kötüye gidiş nedenlerini içeren gerçekçi bir rapor hazırlar tarihe koçi bey risalesi olarak geçen raporda eleştiri konuları adam kayırma rüşvet liyakat…,1.0
kadın kısmı kötü gerçekten,1.0
üzüyor uzadıkça bitmiyor bitse sevimsiz akşamlar,0.0
safranbolu i̇skandinavyalı eskipazar çantacılık zalimsin adamakıllı falya ovacık,1.0
nesil işte kızını dövmeyen dizini döver,1.0
maç bittiği bağırıp çağıracaktınız kaos çıkaracaktınız suyun karşı tarafı istediğini böyle alıyor hanım evladı takılın ezikçe susun i̇şte böyle kafana vurup ekmeğini alırlar kulübün haklarını savunamıyorsun ali koç konforlu köşkünde yaşamaya benzemez bunlar,1.0
bunlardaki hava ci̇hangi̇r yok,0.0
hanımefendi bence muhafazakarları dışarıdan görmeyi başaramamışsınız gözlüklerin numarası bir hayli büyük demek ben bunca yıldır türlü tarikatı cemaati muhafazakarı tanıdım kendini kırbaçlatan bir muhafazakar görmedim bence dümdüz i̇slam düşmanısınız,0.0
i̇çim yanıyor tabur şehit milli yas arşivimden çıkmayan iki resim unutursam kanım kurusun,0.0
sorunlar elbette var yeter kansız olmayın,0.0
ak parti grup başkanvekili özlem zengin chp konuşan ilk hatipler kadındı enteresan anlıyorum kadın meselesini chp sadece kadınlara bırakmış,0.0
şeyler kurulu düzendir i̇ncineceksin,0.0
küçük çocuğun babaannesi teyzesi yaptığı yılbaşı ağacı tartışması sosyal medyanın gündemine oturdu müslümanlığa uygun değil mezarlıklarda yerde çam ağacı var babaanne farklı tamam teyze müslüman sensin,0.0
kız almak gelin gitmek kız istemek kız vermek laflar bi bana sıkıntılı geliyor,1.0
senin hanım bir kıza yakışıyor üniversite öğrencilerinden dildeki cinsiyet ay onediocom aracılığıyla,1.0
malmısın eşşeğim wpden konuştuk ilk hangisi öğretiyor ona başlayayım dedim ippo hanım evladı sen sevmezsin dediler izlemedik,1.0
işin var senin aşkla sevgiyle hayatın boyunca bir kere adam sevilmemişsin,1.0
türkiye cumhuriyeti gelmiş geçmiş çapsız bakanıdır diyenle ben kılıçdaroğlu adam saymak şöyle dursun müsveddesi yerine bile koymuyorum diyenler birbirlerini ziyaret edip yapmışlar hadi ordan kifayetsiz muhterisler sizi,1.0
bütün marketi tarama yapayrım güzel coinleri bulup paylaşiyorum adam başi tl ödeme yapmaniz lazım,1.0
serdar tuncerin menzil cemaatine para topladığı görüntüler tartışma konusu oldu,0.0
dedikoduda adamına düşmek önemli önce bi başladık allah ıslah etsin dur durak yok,1.0
gülmekten karnıma ağrılar girdi,0.0
evet arkadaşlar yeni bir iş sektörüne girdim sizi düşünerekten sevdiginden ayrilanlar sevip kavusamiyanlar morali bozuk olanlar aşk acısı cekenler dünyanın,0.0
senin gibileri adam etmek lazım adam benzetmek lazım adamakıllı köle imişsin adam olursun,1.0
rıza kaybedince oyunculara suç atmaz adam kendisi üstlenirdi gerçek bir efsane,0.0
şehit düşen askerimizden piyade uzman onbaşı i̇smail yazıcı ay önce evlendiği eşinin hamile olduğu öğrenildi,0.0
hollanda kupasında amatör takıma elenen ajax taraftarlarının bilet yol parasını geri ödeyecek,0.0
ocak ayı bir ajanda tutsakk malum ben hanginizle zaman hangi aktiviteyi yapacağımı şaşırdım arkadaşlar,0.0
bana takipçili ince belli sempatik ailesini sahura kaldıran sofrayı kuranhep gergin pamuk yüksek mizaha sahip yüzü bir türlü gülmeyen aşkta kaybeden kime güvendiyse sırtından bıçaklanan bazen aşko kuşko bazen harbi delikanlı kız hala yazmadı,1.0
zordur bizden kız almak arkasokaklar,1.0
erkeklerin kastettiği at kadın böyle bişey mi,1.0
i̇rlanda sosyal demokrat parti lideri holly cairns i̇srailin gazzede filistin halkına yaşattığı vahşeti anlatacak kelimelerim tükendi i̇nsanlık soykırıma kadar sessiz kalacak politikacılar kadar kafalarını kuma gömecek,0.0
anası ağlayan şehitler kalleşçe vurulan mehmetler sevdiğini bekleyen genç kızlar,0.0
barbie değil harbi ben hayatımda böyle delikanlı kız görmedim kardeşim fullyaozturk evimizin misafiri oldu sohbet numara yine,1.0
erkek dediğin hanımcı olucak,1.0
kızını dövmeyen dizini döver,1.0
ben araştırmalardan sonucu çıkarıyorum kadınlar evlilikte sorumluluk alıyor fedakarlık yapıyor sonuçta evlilik erkeğe hizmet eden bir şeye dönüşüyor bekar kadın başına başkasının kahrını almamış kadın oluyor,1.0
türk kızılayı gençlik kampları kamp liderliği eğitiminde çocuklarımızı emanet edeceğimiz kamp liderleri yetişsin ergen çocuklarımızdaki bayan erkek davranış nöropsikolojlisi eğitimini anlattık,0.0
adam kaçırmak hırsızlık reşit olmayan kızla cinsel ilişki yüz kızartıcı ağır suçlardan hüküm giymiş alaattin aydın isimli bir mahkumun sahte ihbarı araştirilmadan yıldırım hızıyla operasyon kararı alınabilir yeni oyunlar,1.0
gündür yapılan katliamlara sırf kariyerleri uğruna ses çıkarmayan türkiye sanat sepet çöp tayfası konu ağaç köpek olunca duyar kasıyorlar halde haydi buyurun terörist israil tünellere köpekleri canlı bomba olarak gönderiyor katledilenler çocuklar kadınlar için…,0.0
bırakın lan hangimiz zengin fakir hangimiz dev,0.0
elinin hamuru eskişehir işine karışma zagortenay yemeksepetiboykot,1.0
ocak ayı aw hava derece,0.0
bir ebeveyn olarak komşunuzdan böyle bir mesaj alsaydınız tepkiniz olurdu,0.0
filozoflar bir zaman din adamı öldürtmemiştir,1.0
bunu söyleyen kişi bakanlığın erkek atayıp sadece aile bakanlığına kadın bakan atayarak kadının yeri evidir mesajı veren akp grup başkan vekili zerre kadar utanmaları yok avozlemzengin,1.0
oy yoksa adam yerine koymak yok oy yoksa hizmet yokoy yoksa depremde yardım yok oy yoksa küfür varoy yoksa tehdit varoy yoksa öldürüp mezara koyar toprağı üstüne döker bunlarrrr chpningerçekyüzü chpyeoyyok baybaykemal,1.0
japonlardann gazzeye destek geldi umitozdag akrabalarına benze biraz adam ol slk,1.0
hakaretten adam başı k para gelse hepsini osmanlılar ilim kültür vakfına bağışlasam güzel olur,1.0
kızımı döverdim kızını dövmeyen dizini döver,1.0
hanım hanımcık yerim ben bunu yaa yağmuryüksel kançiçekleri,1.0
adam sevenin aldığı ödüldür yalnızlık erol özbey,1.0
ezgguler senın gıbı hanım bır kıza yakısıyor carpılar annenı babanı burda rehın alırım vallahı,1.0
doğuda namus kadın kız öldürüp batıda ibneyiz eylemine katılmak nedir hdp kardeş,1.0
ülkede adam kayırma zenginleşme zulüm olduğunu adaleti̇n hukukun olmadigını cumhur başkanı bile kabul ediyorkendi ağzından i̇fadeleri,0.0
erkeğin yeri kadının dizinin dibidir aksini iddia eden erkek veriyordur erkekler yerini bilsin,1.0
görmemişin oğlu olmuş çükünü koparmış,1.0
adam kazandı diyerek milleti aldatan eski genel başkanını hoşgeldiniz güle güle seviyesizliğiyle uğurlayan muharrem i̇nce adam yerine koymak büyük hata,1.0
kadın kısmı bir yalana denk gelmesin binlerce doğruyu sorgulamak zorunda kalıyor,1.0
bizdeki bilim erleri ödüllü,1.0
ideal erkek dediğin,1.0
delikanlı kız helal olsun sana,1.0
hanım hanımcık bir kız,1.0
gündem yeteri kadar açık seferin kızı yılın olayı olmuş boyu suriyeliye kız vermek olmuş vah olsun sana salı,1.0
maç sonunda karı ağlayıp herkese bok atan rıza çalımbay yerine derhal sergen yalçın göreve getirilsin yeter ulan saçma sapan teknik direktörler rezil oluyoruz feyyaz uçar başkan hasan arat lütfen gereğini yapın,1.0
çocukken canımı sıkan bir kelimeydi kız almak vermek anadolu yaşlılar evlenecek kızlar satılmak kelimesini kullanırlardı eskiler bilir mal mıyızderdimbu toplumun bilinçaltı ticaret gözüyle bakıyor evliliğe kız çocuğa erkek tarafı görmemiş,1.0
kadın olmasan cok sınırlenırdım,1.0
anasına bak kızını al,1.0
özlem zengin yapıyor tbmm tarihinde böyle bir olaya tanık olmamıştı sizce hanımefendi yapıyor,0.0
diyaloga başka bir ülkede rastlamak pek mümkün değil,0.0
erkek işi dediler bana verdiler umarım sefer bozulmazsın,1.0
boş yapmayı kes adamakıllı oyna fred,1.0
erkeğin yeri mutfaktır erkek yerini bilsin,1.0
toplumu saatten sonra adam etmek zor düşünüyorum,1.0
karı kılıklı değil beğenmiyorsunuz,1.0
yuvayı yapan dişi kuştur barış huzuru sağlayanda kuştur,1.0
maç sonunda karı ağlayıp herkese bok atan rıza çalımbay yerine derhal sergen yalçın göreve getirilsin yeter ulan saçma sapan teknik direktörler rezil oluyoruz feyyaz uçar başkan hasan arat lütfen gereğini yapın,1.0
ideal erkek adam dedigin böyle olur,1.0
çocukken canımı sıkan bir kelimeydikız almakvermekanadolu yaşlılar evlenecek kızlar satılmak kelimesini kullanırlardı eskiler bilir mal mıyızderdimbu toplumun bilinçaltı ticaret gözüyle bakıyor evliliğe kız çocuğa erkek tarafı görmemiş,1.0
cinsiyetin sıfatı olmaz delikanlı kız gördük kaşar erkek,1.0
anasina bak kizini al demisler yaaa nursemada anasi fesat iki saniyede satti dogayi kızılcıkşerbeti,1.0
ayrılık sonrası eski sevgilisini unutmayan kız hissediyorum unutamıyorum unutamıyorum,0.0
kadının kadına düşmanlığı kadar komik yok personel müdürü yardımcı kadın işi zorlaştırıyor yardım etmemek direniyor hemcinslerini destek aldığın maasda haram oturduğun koltukta haram personelmüdürü kadınkadınıdüşmanı denizcikadınlar,1.0
benim kanım başka senin kanın başka,0.0
güzide borsamızda muhterem arkadaşlarımız var tam hanım evladı,1.0
gavat olma adam ol,1.0
karı ağlama lan,1.0
bugün kişi geldi birinin görüntü erkek davranış kadın diğerinin görüntü kadın davranış erkek tuhaf bir ikiliydi kafam karıştı,1.0
kadın olmasan sana yapacağımı bilirdim budaşiddet,1.0
zordur bizden kız almak arkasokaklar,0.0
dershaneyi sevdiğim dakikalar,0.0
bulgaristan gecekorku filmi sahnesi,0.0
arif gözünüz kadar kararmış cilalı taş devri yaratığı feodalite kalıntısı birini düşünce adamı olarak lider olarak görüyorsunuz kürtler eğitilemez değince kızıyorsunuz al sana sonuç,0.0
ülkede mülteci hırsızlık adam öldürme taciz tecavüz gasp olaylarından ziyade hayvan kaçakçılığına başlamış urfada aslanın kütahya deve kuşunun işi var abi,0.0
insanların annesi keske sevgilisiyle aynı evde kalamayacagını öğretmek yerine insanlık kadınlık iyilik öğretseydi,1.0
selam olsun elinin hamuru işe karışan kadınlara,1.0
adam dedigin sabah kalkar gider,1.0
erkek dediğin sakallı olurr iyyy sakalsız erkek be soyulmuş hıyar,1.0
parasız erkeği sadece anası sever paralı erkeği yaşında olsa yaşındaki bakire kız bile sever,1.0
kimsenin eski türkiye karanlık siyasi ekonomik iklimini geri getirmesine izin vermeyeceğiz mazlumlara gariplere gönlümüzü açık tutacağız rterdogan yıl kasım akparti oy oranı milletvekili tek başına iktidar millette hizmet yolunda yıl,0.0
i̇ki gün önce tek yönlü sokakta tersten gelen adama geri git işareti yaptım gitmedi dk filan tekrar git git yaptım anca gitti ben park edince yanaşıp camı açtı kadın olmasan seni döverdim dedi ben koltuğumun yanında duran jopu çıkarıp inmeye yeltendim kaçtı anı işte,1.0
derbi günü fanatik olan kız bile olamadım,1.0
paranın gözünü seveyim iki foto arasında hafta var,0.0
çilek kız bile var çilek erkek olamaz,1.0
kirletmek namus temiz kız vermek,1.0
memlekette sevdiğim herkese iyiliği dokunan çiçek bir abla vardı zor bir çocukluk genç kızlık yaşadı mutlu oldu evlendi yeni bir oğlan çocuğu olmuştu bugün evde ölü bulunmuş kalp krizi geçirmiş galiba kadar üzüldüm dünya gerçekten küçük,0.0
valla ben kişiyi aradım içinde düşman olduğum kız bile vardı,0.0
ruhumu dinlendiren bi parça,0.0
erkeğin fıtratında kadına hizmet etmek vardır,1.0
haklı kızını dövmeyen dizini döver,1.0
kadın dırdırı hariç yük taşınır,1.0
yeşilçamdan gerçek bir hikaye erkeklik öldü atıf bey,1.0
adam dediğin bir davasından birde sevdasından vazgeçmez,1.0
trakyadan kız almak zor köyün gençlerine kasa bira litre rakı bin tl nakit veriyorsun,1.0
nereden baksan numara adamlık,0.0
söylersen herkesin hak vereceği bir fikrini yaz,0.0
bana bakın çabuk diziye girmişim yüzyıllıkmucize,0.0
kızını dövmeyen dizini döver,1.0
erkeklik krizinizi sikem,1.0
yine yalan yine yalan erkeklik mertlik size mi kalmış yalan söylüyorsunuz yalan söyleme ihtiyacı duyuyorsunuz size insanların güvenini kaybetme hasleti verilmiş ben bunu anlamadım dürüstlük kadar zor doğruyu konuşsanız olmazmı,1.0
murat ülkerin oğlu fatih ülker sait halim paşa yalısında düzenlenen törenle ayako takasu evlendi,0.0
erkeğin fıtratında güç kuvvet kadının fıtratında narinlik duygusallık vardır erkek övülmeyi kadın sevilmeyi ister,1.0
köye kız vermek istemeyip köyünde taşı sıksa suyunu çıkaracak gençleri şehirden ev almaya zorlayan kızını bodrum katlarına konfeksiyon atölyelerine merdiven silmeye elin evinde hizmetçi olmaya,1.0
böyle terbiyesiz şeyler yazarak kendimi mi kanıtlamaya çalışıyorsun kadın dediğin biraz edepli olur link var,1.0
iki hafta önce bir taksiciyle yolu dolandırdığı tartıştım ben araçtan inince inip üzerime yürüdü kadın olmasan döverdim söylendi yakınlardaki bir bakkal kavgayı ayırdı taksicinin yaptığı saldırgan davranışa cesaret bulamamaları lazım,1.0
şeyh said efendi bir hain değil bir vesika ispatlandığı üzere sadece yıkılan dini değerlerini korumaya çalışan uğurda şehid olan bir müslümandır,0.0
ekremi̇mamoğlu mealen ben didem aslanın olmasını istedim gündeme getirdiği iki erkeğin olduğu yerde bir kadının olması ayrı bir boyut katar binaliyıldırım istemedi,0.0
kadar adamsan kadar kadınlık görürsün,1.0
ümit özatın dediği futbolcu olmassa kız bile bakarmıydı şuna,1.0
türkiye gençlik vakfı tügva çankırı şubesinde genç kardeşlerimizle selamlaştık,0.0
at kadın gercekten kadındır,1.0
evliliği kız almak kız vermek olarak gören zihniyet bizim burada kullanılıyor ben buna sinir oluyorum falanca kızını vermiş diyorlar eşya vermiş,1.0
kadın dırdırı hariç türlü dert çekilir,1.0
ponçik kız herkesten nefret edebilir kız bile nefret ediyorsa işte bi iş vardır,1.0
adamın dibi yemin ederim,1.0
eksik akıl eksik etek eksik insanlık demet,1.0
bir takım prosedürleri yerine getirmek suretiyle alınan unvanlarla kendini bilim adamı prosedür gereği yapılanları bilimsel araştırma zannedenler var akademisyenlerin evvel emirde bir şeyler okuyup öğrenip onları yazı sözle başkalarına aktarmanın bilim olmadığını,0.0
ben trabzonluyum hepimiz mavi gözlüyüz ailem tamamen sarisin hic sevmedigim erkek tipi sarisin renkli gözlü adama benzemiyolar oyuncak bebege benziyolar erkek adam dedigin kara gözlü kara sacli olur sarisin erkekler kizlara benziyor,1.0
peki evliyken karilik yapmayanin sucu yokmu kocasini evde tutamayan yapmacik karilarin günahi feritten kacan seyran di benim bildigim,1.0
helâl olsun yiğidim i̇şte adamlık budur gülşen bubikoğlu tayt dolar hülya avşar i̇srailli okşan büyükfilistinyürüyüşü hakan fidan deprem ebuubeyde ümit özdağ tayt,1.0
erkek adam dedigin,1.0
i̇stanbul büyük deprem olmayacak diyen prof dr şener üşümezsoy yanıt veren prof dr naci görür yanıt verdi onu diyen bilim adamı değil,0.0
tarim kredi̇ kooperati̇fi̇ hayırdır çam ağacı süslemek nedir carrefour migros farkınız kaldı müslümanlar size sahip çıkacak,0.0
geceye erkeklerin çektiği kadın dırdırı ahirette günahlarına kefaret olurmu,1.0
senaryoda yazmıyordur mesela burcu alptekinin eseri,0.0
erkeğin fıtratında kadına köle olmak var,1.0
eee olmuş neticede kadınsın eksik etek,1.0
prof dr naci görür i̇stanbulda deprem olmayacak demek büyük bir vebalin altına girmek demek i̇stanbulda risk yok diyen kişi bilim adamı değil,0.0
erkeğin olduğu yerde taciz sapıklık vardır evrensel bir gerçek hadi işin ulus devlet boyutu sizi ilgilendirmiyor türk erkekleri problemli türklerden problemli milyonlarca herifi türkiye kabul etmek zorunda mıyız,1.0
biraz eksik etek mini olaydı iyi gurur duyardın kemalist kafa,1.0
kafede oturuyorum bi kız bir erkek oturuyor kızın muhabbet aynen ben içki içiyorum benim erkek arkadaşım var ben açık açık söylüyorum bunları sen bana kısıtlayıcı davranınca rahatsız oldum biraz erkeklik gururun varsa masadan kalk kardeşim,1.0
perde takmak erkeğin fıtratında var,1.0
efsane kadro birlikte cumartesi günü gelecek bilimde youtube kanalında olacağız yayını kaçırmayın,0.0
yapılan araştırmalara göre türk kadınları erkeklerin ömrünü dırdırdan dolayı beş yıl uzatıyorlarmış ee boşuna demişler kadın dırdırı ruhun gıdasıdır yaa gördünüz beyler giymetimizi bilin yav,1.0
erkeğin fıtratında kadına köle olmak var erkek yerini bilsin,1.0
rica ediyorum çocuklarınıza büyüyünce doktor mühendis sanatçı bilim adamı değil mahçup olmayı öğretin artık utanan kalmadı,0.0
kadın olmasan bir derdim neyse,1.0
kız kardeşim evleniyor kız vermek zormuş,1.0
metreden piyade tüfeğiyle üçte üç vuramayana kız bile verilmemeli,1.0
i̇ki gündür hastalıktan geberiyorum rapor almak doktora gittim aç ağzını dedi sadece boğazıma baktı sigara kullanıyormusun dedi evet dedim beni sedyede öylece bıraktı haline bak dudakların morarmış hayır kadın olmasan hakaret edecem sonra doktor,1.0
gavat oğlu gavat erkek dediğin tek gecelik ilişkisini bile saklar afişe etmez yanındaki kadın olursa olsun konuşturmaz mahrem bilir böyle gavatların yarın öbürgün karısına saygısının kalmayacağına emin olun,1.0
bir dakikalık erkeklik yıl karılık yaptırır gardaş,1.0
kadın dırdırı hariç herşeyi çekerim,1.0
nörolojik vakaların tamamı kadın dırdırı kesin bilgi,1.0
adam öldürme den yargılayın bence,0.0
kocaeli belediye başkan adayımız prof dr doğan aydal hocamız olmuştur sanayi şehrine yakışır bürokrat bilim adamı hocamız partimize kocaeli mize kıymetli genel başkan vekilimiz doğan aydal hocamıza hayırlı olsun gözün aydın kocaeli …,0.0
zannediyorum alevilerin zoru derdi sünnilerden kız almak,1.0
kız vermek zormuş allah babalarımızın yardımcısı olsun,1.0
kadın olmak zor kurbağa öper yüzyıllarca uyur cüceyle yaşar kuleye kapatılır bir masal prensesi olsan bile kadınlık zor,1.0
kız almak kız vermek i̇kisini denedim tarafımı bekarlık olarak seçiyorum,1.0
bugun burda bir cok erkek kardeş abilerimizde kadın dırdırı söz konusu günün tavsiyesi ölü taklidi yapında kurtulun,1.0
noksan gökyüzü mavi nemenem mavi neyin nesi bulut erkeklik öldü be,1.0
kız başına erkeklerin oyununa karışma,1.0
aynen adamın dimi,1.0
iskoçların kızdıkları bi laf vardır eksik etek oyu eksik buyu eksik den iyi takım olmaz,1.0
babam hıristiyana kız vermek günah dedi ee rus erkeğiyle evlenmiceksem doğdum,1.0
erkeklik öldü yanımızdaki kızı müdafaa ettik,1.0
bir erkeğin olduğu yerde gerçekleşen kötü olaylara şaşırmamayı öğrenemediniz mi kızlar iki gündür kadir doğuluya kızıyorsunuz,1.0
anasına bak kızını al misali hocam onu ben doğurdum inanmazsanız kanıtlarım var,1.0
gereksiz vekil oldu anasına bak kızını al derler babasına bak olduğunu anla,1.0
biraz kafa dinleyince anlıyorsun kadın dırdırı kadar leş bişey yok,1.0
tuncli değil kız almak içine adım atılmaz arkadaşlar görüldü onaylandı,1.0
ezgi özsar adamdır hemide adamın dimi,1.0
kızlarda kızlık bozma bir var erkeklerde erkeklik bozma bir var,1.0
hangi memleketten kiz alinir bandirma erdek susurluk balikesir izmir aydin mugla eskisehir ankara istanbul antalya bursa van nevsehir canakkale artvin sinop samsun tekirdag edirne kirklareli mersin hatay tunceli,1.0
noksan gökyüzü mavi nemenem mavi neyin nesi bulut erkeklik öldü be,1.0
hani derlerya hayat eve sığar inanmayın hikaye evde hayat yok çamaşır bulaşık ütü temizlik koca derdi kadın dırdırı cocuk vırvırı bunlar var hani hayat eve sığardı neyse kaymaklı bisküviyi ikiye ayırıp kaymağını yiyenler burdaysa çay yapsın geliyorum,0.0
elinin hamuru futbol oynama geç mutfağa pide aç töre valla yetti artık,1.0
faizin olduğu içkinin uyuşturucunun içildiği zinanın serbest olduğuadam kayırmanın rüşvetin kol gezdiği bir ülkede yılbaşı kutlansa olur kutlanmasa olur i̇yi akşamlar hayırlı cumalarbu gece kadar,0.0
rezil olduk aq yunanlara rezil olduk yunanlar lutfen kavgaci bir millet degiliz sadece ara toplum olarak gergin bir süreçten geciyoruz yine bize kiz vermek istemezseniz saygi duyarız survivor survivorgr,1.0
oo anamın kızlık soyadına kadar favlamış,1.0
knk evli bi kadın olmasan ahlaksızlık edebilir mi muratlarımı bir kurtarsaydık şuradan,1.0
erkeğin fıtratında güç kuvvet kadının fıtratında narinlik duygusallık vardır erkek övülmeyi kadın sevilmeyi isterhadi neyse bunlar derin mevzular bana iyi uykular size iyi geceler,1.0
sığıntılar henüz gönderilmiyor gönderilmesin sen kendi kızını bacını koruyacaksın yeri gelir kapı komşuna güvenemezsin afrika köyünden çıkıp gelmiş adama kız vermek demek yıl önce bunu yapanın adamlığı şerefi kalırdı ben devirden korkuyorum artık,1.0
adam sevmeyi adam olmayı beceremiyorsan sevmeyeceksin kayacım problemin varsa git tedavi ol sonra abidinin yanına uğra sana adamlık dersi versin ben senden razıyım abidinim iyi sen yalıçapkını abidin ersinarıcı abim abim oh,1.0
kolum kadar dili olan karşı cinsleride sevmiyorum kadın dediğin kibar naif olmalı ağzında küfür bitirim ayakları geçin bunları,1.0
bedelli askerlik yapmış birine halk oy vermez eskiden kız bile vermezdi,1.0
anasına bak kızını al kenarına bak bezini al,1.0
amin diyen kız bile influencer oldu,0.0
dusan tadic ailesiyle birlikte vakit geçiriyor,0.0
pendik saldırganlar istenen ceza belli oldu,0.0
aydınlığı yangın sanıp söndürmeye koşan zavallı insanlarım karanlığa kadar alışmışsınız yıldızlar bile rahatsız ediyor sizi düşüncenin kuduz köpek kovalandığı ülkede düşünce adamı çıkar cemil meriç,0.0
kız vermek zor derlerdi kız kardeşini kanını canını çocukluk arkadaşını sırdaşını suç ortağını allı pullu gelinliğin içinde görmek… evden dualarla çıkarken beline kuşağını bağlamak karmaşık duygular içersindeyim bir uzvumu kaybettim sarecaliskann,1.0
toplum içinde yüksek sesle video izleyenler milli güvenlik sorunudur acilen duruma çözüm bulunmalıdır,0.0
köyden di̇ri̇ vücutlu kız almak lazım,1.0
ahmağa güzel kız vermek eşeğe çiçek yedirmeye benzer,1.0
babasının bir tanesiydi onuda ben aldım yazı gelin arabasının üzerinde yazıyor kendini bilen insan arabaya binmezdi heralde,0.0
anasina bak kizini al demişler,1.0
kız almak kız istemek demek karpuz alıyorsun otoban kenarında kiz almak demek aliyosun,1.0
trabzondan kız almak kolay değilmiş vatikaninsifresibirtemelmacerasi,1.0
bak zaten kafam allak bullak ana avrat soy sop dalacam sonunda sahadaki ayrı sıkıntı rivadaki ayrı,1.0
erkek adam psikoloğa gitmez gitmez gözünün görmediği yere kadar gazlar görmeye başladığında evine geri döner,1.0
uzun zamandır erkek bir rivals izlemiyoruz messi dani alves messi suarez pepe ramos ronaldo falan neydi öyle amk,0.0
